i9_health,i1_health,i2_health,i7a_health,i5_health_1,i5_health_2,i5_health_3,i5_health_4,i5_health_5,i10_health,i11_health,i12_health_1,i12_health_2,i12_health_3,i12_health_4,i12_health_5,i12_health_6,i12_health_7,i12_health_8,i12_health_11,i12_health_15,i12_health_16,i12_health_17,i12_health_18,i12_health_19,i12_health_20,i13_health,weight,age,household_size,household_children,employment_status,gender_Female,gender_Male
1.0,1.0,4.0,2.0,0.0,0.0,0.0,0.0,0.0,3.0,6.0,1.0,4.0,5.0,5.0,5.0,4.0,5.0,5.0,5.0,5.0,4.0,5.0,4.0,4.0,5.0,25.0,0.987659016,58.0,0.0,0.0,0.0,1.0,0.0
1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,6.0,1.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,4.0,1.0,1.0,5.0,5.0,10.0,0.99819705,48.0,1.0,1.0,1.0,0.0,1.0
1.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,3.0,6.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,4.0,5.0,3.0,5.0,5.0,5.0,5.0,6.0,0.995057961,30.0,1.0,1.0,0.0,1.0,0.0
1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,3.0,6.0,4.0,5.0,5.0,5.0,5.0,4.0,1.0,5.0,5.0,5.0,4.0,1.0,5.0,5.0,3.0,10.0,0.9944964070000001,68.0,0.0,0.0,0.0,1.0,0.0
1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,6.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,20.0,0.987659016,71.0,0.0,1.0,0.0,1.0,0.0
1.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,6.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,3.0,1.0074741870000001,54.0,0.0,0.0,0.0,0.0,1.0
0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,2.0,6.0,1.0,4.0,4.0,4.0,5.0,3.0,5.0,5.0,5.0,5.0,3.0,2.0,5.0,1.0,3.0,4.0,1.002949428,77.0,0.0,0.0,0.0,0.0,1.0
1.0,2.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,3.0,6.0,1.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,4.0,5.0,4.0,5.0,1.0,4.0,5.0,30.0,0.998983031,46.0,1.0,1.0,1.0,1.0,0.0
1.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,5.0,6.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,2.0,2.0,5.0,5.0,4.0,0.995057961,28.0,1.0,0.0,1.0,1.0,0.0
1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,3.0,6.0,1.0,4.0,3.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,1.0,5.0,5.0,5.0,4.0,0.9944964070000001,73.0,1.0,0.0,1.0,1.0,0.0
1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,6.0,1.0,5.0,4.0,5.0,5.0,4.0,5.0,5.0,5.0,5.0,5.0,1.0,5.0,4.0,5.0,7.0,1.012270732,62.0,0.0,0.0,0.0,0.0,1.0
1.0,2.0,6.0,1.0,0.0,0.0,0.0,0.0,0.0,3.0,6.0,1.0,5.0,5.0,5.0,5.0,4.0,5.0,5.0,5.0,5.0,2.0,1.0,1.0,5.0,5.0,24.0,1.0074741870000001,49.0,1.0,1.0,1.0,0.0,1.0
1.0,5.0,40.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,6.0,1.0,5.0,3.0,5.0,5.0,1.0,5.0,5.0,5.0,3.0,1.0,1.0,1.0,1.0,3.0,5.0,0.9929099579999999,18.0,1.0,1.0,1.0,1.0,0.0
1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,6.0,1.0,5.0,4.0,5.0,2.0,4.0,5.0,5.0,5.0,5.0,5.0,3.0,5.0,3.0,4.0,5.0,1.012270732,69.0,0.0,0.0,0.0,0.0,1.0
1.0,4.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,5.0,2.0,1.0,4.0,3.0,4.0,5.0,3.0,5.0,5.0,5.0,5.0,3.0,1.0,1.0,4.0,4.0,4.0,0.9913342159999999,47.0,1.0,1.0,1.0,0.0,1.0
1.0,2.0,6.0,1.0,0.0,0.0,0.0,0.0,0.0,6.0,6.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,2.0,5.0,5.0,5.0,5.0,20.0,0.9773997729999999,39.0,1.0,1.0,1.0,1.0,0.0
1.0,3.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,6.0,1.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,4.0,5.0,5.0,8.0,0.9929099579999999,19.0,0.0,0.0,1.0,1.0,0.0
1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,6.0,5.0,5.0,4.0,4.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,4.0,4.0,4.0,5.0,10.0,1.00373915,77.0,0.0,0.0,0.0,1.0,0.0
1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,4.0,6.0,1.0,5.0,5.0,5.0,5.0,3.0,5.0,4.0,4.0,5.0,4.0,3.0,2.0,4.0,5.0,12.0,0.9841661420000001,42.0,0.0,1.0,1.0,1.0,0.0
1.0,2.0,20.0,3.0,0.0,0.0,0.0,0.0,0.0,4.0,6.0,1.0,5.0,5.0,4.0,4.0,2.0,4.0,5.0,3.0,4.0,3.0,1.0,1.0,3.0,1.0,20.0,1.012842322,28.0,0.0,0.0,1.0,0.0,1.0
1.0,1.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,4.0,5.0,4.0,5.0,5.0,5.0,4.0,5.0,4.0,5.0,5.0,5.0,5.0,5.0,5.0,4.0,5.0,5.0,1.012842322,32.0,0.0,1.0,1.0,0.0,1.0
1.0,4.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,5.0,6.0,3.0,4.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,1.0,1.0,4.0,5.0,15.0,1.012842322,31.0,1.0,1.0,1.0,0.0,1.0
1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,6.0,1.0,5.0,4.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,1.0,3.0,4.0,4.0,8.0,0.983766934,24.0,1.0,0.0,0.0,1.0,0.0
